Port,PortNo,Route,RouteNo
Lavender-Chi,9891,Chamelaucium_Two_hundred_and_ten,1890
Turquoise-Delta,9785,Waxflower_Three_hundred_and_eighty-two,1213
Deeppink-Psi,9665,Wattle_Fifty-eight,3637
Sienna-Iota,7807,Nephrolepis_Two_hundred_and_twenty-three,1002
White-Psi,6369,Aster_One_hundred_and_forty-nine,1125
Lightgray-Delta,3548,Myrtle_One_hundred_and_seventy-three,1148
Sandybrown-Tau,5560,Heather_Three_hundred_and_eighty-four,2271
Lightcoral-Pi,8474,Sunflower_One_hundred_and_thirty-four,610
Blanchedalmond-Beta,3344,Stock_One_hundred_and_twelve,441
Dodgerblue-Sigma,8400,Montbretia_Four_hundred_and_thirty-three,980
Lightseagreen-Delta,6162,Ornithogalum_One_hundred_and_sixty-five,646
Brown-Nu,7733,Myrtle_Forty,2931
Olive-Sigma,5524,Alstroemeria_Fifteen,1621
Lightseagreen-Pi,8346,Tuberose_Three_hundred_and_thirty-eight,3023
Saddlebrown-Gamma,9680,Cornflower_Ninety-one,3814
Rebeccapurple-Sigma,9314,Agapanthus_Two_hundred_and_fourteen,3612
Darkorange-Eta,8157,Scabiosa_Two,2392
Greenyellow-Rho,9958,Ranunculus_Eighty-nine,1281
Tomato-Pi,9078,Lavender_Three_hundred_and_ninety-six,2629
Olive-Delta,5071,Caspia_Sixty,154
Lightsteelblue-Mu,7013,Jonquil_One_hundred_and_twenty-four,1759
Darkcyan-Omicron,8996,Safflower_Two,2431
Silver-Pi,6829,Musa_Forty-nine,3838
Teal-Zeta,9210,Ornithogalum_Three_hundred_and_twelve,1686
Powderblue-Tau,5374,Gladiolus_Thirty-one,2369
Navy-Beta,6719,Paeonia_Two_hundred_and_thirty-one,2787
Darkblue-Gamma,4182,Stock_One_hundred_and_sixty,3452
Cornsilk-Tau,7703,Ornithogalum_One_hundred_and_thirteen,2710
Cornflowerblue-Delta,7438,Speedwell_Twenty-five,3581
Pink-Psi,3901,Cosmos_One,2282
Aqua-Omicron,4687,Tuberose_Two_hundred_and_sixty-nine,1995
Green-Mu,4311,Bellflower_One_hundred_and_sixty-two,2480
Mediumaquamarine-Upsilon,3227,Speedwell_Twelve,3907
Lightgreen-Rho,8805,Zinna_Four_hundred_and_ninety-four,1991
Midnightblue-Rho,7863,Paeonia_Three_hundred_and_thirty-three,1449
Snow-Gamma,3144,Candytuft_Sixty-seven,3355
Saddlebrown-Upsilon,3975,Phlox_Forty-eight,3495
Wheat-Omega,5874,Cymbidium_One_hundred_and_ninety-four,3053
Maroon-Phi,9428,Zantedeschia_Two_hundred_and_fifty-nine,3147
Darksalmon-Mu,9903,Convallaria_Four_hundred_and_twelve,625
Beige-Omega,3525,Ranunculus_Four_hundred_and_eighty-seven,1819
Peru-Zeta,6904,Lily_Three_hundred_and_ninety-one,3939
Magenta-Theta,6022,Waxflower_Sixty-seven,1029
Hotpink-Pi,3194,Statice_Two_hundred_and_thirty-two,2881
Mediumpurple-Gamma,5521,Love-lies-bleeding_Ninety-five,410
Beige-Eta,7948,Broom_Three_hundred_and_seventy-nine,739
Tan-Gamma,6204,Wolfsbane_Eight,1765
Palevioletred-Phi,8226,Carnation_Four_hundred_and_forty,3834
Darkseagreen-Mu,6030,Broom_Three_hundred_and_sixty-nine,1758
Lightsteelblue-Chi,7098,Lilac_Twenty-eight,1580
Lightsalmon-Beta,8301,Anconitum_Four_hundred_and_thirty-nine,2013
Navy-Sigma,9743,Lisianthus_Forty-two,3029
Coral-Chi,6130,Lavandula_Seventy-six,3521
Honeydew-Delta,8680,Memosa_Four_hundred_and_five,379
Aqua-Omega,4437,Cymbidium_Four_hundred_and_sixty-two,139
Turquoise-Mu,9133,Myrtus_One_hundred_and_fifty-four,3211
Springgreen-Kappa,6751,Porium_One_hundred_and_eighty,284
Turquoise-Epsilon,9565,Phlox_Fifty-four,3421
Palegreen-Zeta,3042,Nigella_Seventy-nine,2356
Chocolate-Eta,7317,Lilly-of-the-Valley_Three_hundred_and_ninety-four,1491
Burlywood-Epsilon,3369,Veronica_Sixty-eight,1429
Floralwhite-Theta,7547,Ginger_One_hundred_and_thirty-two,2789
Rosybrown-Sigma,5860,Lilly-of-the-Valley_Sixty-four,3208
Palegreen-Omicron,7949,Anconitum_Fifty-five,2250
Slategray-Kappa,4209,Hydrangea_Three_hundred_and_eighty-four,3588
Cornsilk-Theta,5325,Lilly-of-the-Valley_One_hundred_and_forty,2503
Orchid-Pi,6304,Chamelaucium_Eighty-seven,3875
Chartreuse-Alpha,9330,Adam's-needle_Four_hundred_and_seventeen,1724
Powderblue-Xi,8337,Solidago_Four_hundred_and_thirty-six,2493
Navy-Lamda,4821,Limonium_One_hundred_and_twenty-three,2745
Red-Lamda,7033,Lisianthus_Four_hundred_and_ninety-nine,540
Mediumorchid-Omicron,6424,Sunflower_One_hundred_and_thirty-four,610
Slategray-Sigma,8658,Rattlesnake_Two_hundred_and_ninety-nine,807
Gold-Gamma,6060,Sunflower_One_hundred_and_thirty-four,610
Red-Pi,6211,Schinus_Three_hundred_and_eighty-nine,2616
Olive-Nu,7747,Asparagus_One_hundred_and_sixty-six,1900
Turquoise-Mu,9133,Knapweed_One_hundred_and_twenty-six,1389
Slategray-Sigma,8658,Zantedeschia_Two_hundred_and_fifty-nine,3147
Cornsilk-Rho,7510,Melaleuca_Four_hundred_and_seventy,1228
Fuchsia-Lamda,7784,Scabiosa_One_hundred_and_seven,3604
Lightgoldenrodyellow-Zeta,3402,Melaleuca_Seventy-eight,2977
Thistle-Kappa,6437,Banksia_Three_hundred_and_twenty-one,1734
Darkturquoise-Theta,5084,Bupleurum_Two_hundred_and_sixty-six,2114
Green-Rho,5295,Dahlia_Two_hundred_and_eight,2313
Darkslategray-Upsilon,4368,Heather_Three_hundred_and_eighty-four,2271
Darkslateblue-Iota,3154,Cymbidium_One_hundred_and_twenty-two,1568
Mediumaquamarine-Eta,6771,Liatris_Two_hundred_and_ninety-three,2602
Dimgrey-Psi,9924,Stephanotis_Forty-three,582
Bisque-Sigma,7523,Wattle_Four_hundred_and_forty,1698
Orange-Omicron,7779,Lavender_Three_hundred_and_forty-nine,3004
Chartreuse-Delta,6417,Banksia_Four_hundred_and_eighty-seven,1965
Mediumaquamarine-Epsilon,3533,Safflower_Two_hundred_and_fifty-six,3005
Wheat-Delta,5219,Feverfew_Three_hundred_and_twenty-three,1626
Orangered-Epsilon,8215,Clarkia_Forty-one,3427
Lemonchiffon-Chi,9683,Myrsine_One_hundred_and_twenty-six,1906
Springgreen-Eta,8390,Anthurium_Four_hundred_and_forty-four,3726
Beige-Alpha,7293,Cosmos_One_hundred_and_one,37
Honeydew-Pi,4753,Buddleia_Seventy-three,3264
Gainsboro-Xi,8712,Enthusiasm_Three_hundred_and_twenty-two,1045
Darkorange-Pi,7127,Rose_Two_hundred_and_thirteen,1851
Dimgray-Pi,4924,Aster_Four_hundred_and_thirty-four,2100
Palegoldenrod-Chi,9298,Zinna_Three_hundred_and_eighty-two,850
Silver-Sigma,5363,Wolfsbane_Two_hundred_and_thirty-four,3781
Darkolivegreen-Omicron,9795,Enthusiasm_Three_hundred_and_twenty-two,1045
Wheat-Sigma,8860,Buddleia_Three_hundred_and_sixteen,2973
Blue-Kappa,3956,Salix_One_hundred_and_seventy-three,860
Darksalmon-Beta,9334,Lisianthus_Four_hundred_and_ninety-nine,540
Magenta-Pi,3107,Phalaenopsis_Fifty-four,2557
Rebeccapurple-Mu,7470,Lilac_Sixteen,2855
Greenyellow-Upsilon,7196,Achillea_Eighty-two,2508
Orange-Upsilon,3361,Stenamezon_Two_hundred_and_forty,1551
Mintcream-Alpha,7569,Amaryllis_Four_hundred_and_eighty,3536
Limegreen-Iota,6526,Paeonia_Four_hundred_and_eleven,1445
Indianred-Eta,3462,Lily_Four_hundred_and_twelve,661
Mediumaquamarine-Epsilon,3533,Heather_Two_hundred_and_ninety-seven,1172
Rebeccapurple-Epsilon,9618,Phalaenopsis_Four_hundred_and_sixty-three,3935
Chocolate-Mu,7598,Broom_Two_hundred_and_eighty,3492
Wheat-Alpha,7390,Freesia_Forty-one,1516
Lightgrey-Lamda,9470,Pittosporum_Seventy-nine,2646
Gainsboro-Omega,9490,Paeonia_Three_hundred_and_thirty-three,1449
Tan-Chi,5164,Ornithogalum_One_hundred_and_sixty-five,646
Hotpink-Theta,4963,Lavender_Three_hundred_and_fifty-eight,3796
Mediumpurple-Iota,6593,Bouvardia_Three_hundred_and_twenty-two,2791
Magenta-Theta,6022,Lavender_One_hundred_and_fifty-nine,2886
Gold-Gamma,6060,Bellflower_Two_hundred_and_eighty-four,2254
Maroon-Lamda,6041,Anigozanthus_Three_hundred_and_nine,3105
Mediumturquoise-Rho,8043,Stock_Four_hundred_and_eighty-eight,1718
Brown-Omega,7203,Limonium_One_hundred_and_twenty-three,2745
Skyblue-Pi,3982,Rattlesnake_Twenty-three,3785
Mediumseagreen-Tau,7907,Ranunculus_Thirteen,3459
Slateblue-Omicron,5511,Pittosporum_One_hundred_and_eleven,3378
Azure-Beta,3231,Knapweed_Two_hundred_and_ninety-seven,4026
Fuchsia-Gamma,8319,Candytuft_Two_hundred_and_twenty-four,2294
Lightsteelblue-Tau,6262,Buddleia_One_hundred_and_ninety-eight,2131
Powderblue-Gamma,7814,Gyp_Two_hundred_and_ninety-eight,3482
Firebrick-Psi,5713,Scabiosa_Two_hundred_and_forty-one,2571
Darkgoldenrod-Chi,5975,Jonquil_One_hundred_and_twenty-four,1759
Honeydew-Beta,6797,Daffodil_One_hundred_and_fifty-five,2097
Lightcyan-Rho,4563,Campanula_One_hundred_and_ten,1960
Darkturquoise-Beta,3676,Myrsine_Two_hundred_and_eighty,2266
Mediumturquoise-Epsilon,8822,Caspia_Three_hundred_and_seventy,1285
Lightgray-Pi,4599,Banksia_Three_hundred_and_one,3371
Beige-Lamda,8152,Tulipa_Sixty-eight,3680
Green-Nu,6243,Sansevieria_Three_hundred_and_seventy-four,1423
Darkviolet-Iota,6687,Nigella_One_hundred_and_seventy-one,3979
Olive-Beta,8228,Boronia_Twenty-eight,3556
Khaki-Epsilon,9492,Asparagus_Four_hundred,3364
Tomato-Zeta,4342,Heath_Three_hundred,2211
Blanchedalmond-Beta,3344,Anemone_Two_hundred_and_fifty-one,2849
Lightcyan-Upsilon,9652,Musa_Four_hundred_and_three,3538
Wheat-Beta,6993,Pitt_One_hundred_and_two,2786
Oldlace-Omicron,6176,Lisianthus_Four_hundred_and_ninety-nine,540
Forestgreen-Iota,6679,Chamelaucium_Three_hundred_and_seventy-three,3242
Powderblue-Phi,7512,Snapdragon_One_hundred_and_three,4011
Forestgreen-Upsilon,5853,Anigozanthus_Four_hundred_and_five,1272
Darksalmon-Zeta,8775,Rattlesnake_Four_hundred_and_twenty-nine,2007
Green-Iota,3459,Safflower_Four_hundred_and_ninety-nine,2125
Aliceblue-Kappa,7451,Acacia_Ten,3170
Lightgray-Beta,9272,Cornflower_Four_hundred_and_thirty-six,3343
Mediumblue-Omicron,8364,Pitt_Four_hundred_and_fifty-six,3068
Mediumorchid-Alpha,5094,Limonium_One_hundred_and_eighty-one,4013
Black-Kappa,4950,Asparagus_Four_hundred_and_ninety-six,1789
Forestgreen-Iota,6679,Hippeastrum_Three_hundred_and_sixty-nine,287
Blueviolet-Epsilon,6501,Montbretia_Three_hundred_and_eleven,3120
Tan-Gamma,6204,Sunflower_Three_hundred_and_eighteen,1427
Tomato-Beta,8788,Nephrolepis_Ninety-eight,3324
Darkseagreen-Nu,4938,Narcissus_Forty-five,3746
Darkgrey-Alpha,5688,Tailflowers_Seventy-one,2352
Deeppink-Epsilon,8372,Love-lies-bleeding_Thirty-eight,1911
Cornsilk-Omega,5952,Iris_Three_hundred_and_ninety-five,261
Snow-Omicron,8768,Buddleia_One_hundred_and_ninety-eight,2131
Darksalmon-Zeta,8775,Snapdragon_Two_hundred_and_fifty-nine,606
Purple-Nu,7539,Gardenia_Two_hundred_and_thirty-one,408
Honeydew-Omicron,8140,Narcissus_Three_hundred_and_twenty-five,651
Thistle-Epsilon,7880,Lavandula_Three_hundred_and_fifty-four,2610
Darkcyan-Omicron,8996,Mimosa_Three_hundred_and_twenty-one,1699
Mediumblue-Theta,3916,Mimosa_One_hundred_and_two,497
Papayawhip-Sigma,4268,Sunflower_Four_hundred_and_twenty,3487
Lightcoral-Mu,8105,Lisianthus_Three_hundred_and_ninety,2951
Gainsboro-Alpha,7361,Phalaenopsis_Three_hundred_and_twenty,3897
Lightgrey-Gamma,5036,Wattle_Three_hundred_and_ninety-two,1563
Peachpuff-Lamda,4823,Peony_Four_hundred_and_fifty-nine,1730
Royalblue-Gamma,7732,Wattle_Four_hundred_and_seventy,1240
Lightgray-Delta,3548,Saxicola_One_hundred_and_ten,413
Forestgreen-Alpha,4122,Iris_One_hundred_and_twenty-seven,2092
Red-Tau,3749,Feverfew_Eight,217
Palegreen-Nu,6003,Daffodil_One_hundred_and_ninety-two,3383
Darkorchid-Pi,6023,Rattlesnake_Four_hundred_and_twenty-nine,2007
Orange-Delta,3893,Pitt_Two,545
Mediumslateblue-Tau,3281,Rose_Four_hundred_and_seven,2329
Steelblue-Rho,6857,Waxflower_Two_hundred_and_fifty-three,3408
Chocolate-Kappa,4307,Craspedia_Two_hundred_and_five,2575
Linen-Omicron,7823,Rose_Three_hundred_and_forty-nine,2422
Darkturquoise-Beta,3676,Asparagus_One_hundred_and_sixty-nine,2620
Darkviolet-Phi,6647,Gardenia_Two_hundred_and_thirty-one,408
Orangered-Epsilon,8215,Lisianthus_Forty-two,3029
Mediumpurple-Gamma,5521,Liatris_One_hundred_and_ninety,2489
Royalblue-Gamma,7732,Gardenia_Four_hundred_and_sixty-one,228
Darkseagreen-Mu,6030,Strawflower_Two_hundred_and_forty-five,1847
Bisque-Xi,4608,Craspedia_Two_hundred_and_fourteen,125
Burlywood-Beta,6938,Tailflowers_Two_hundred_and_forty-three,1325
Mediumaquamarine-Beta,9611,Wolfsbane_Two_hundred_and_thirty-four,3781
Indianred-Mu,3408,Amaryllis_Seventy-five,631
Indianred-Gamma,7935,Freesia_One_hundred_and_forty-nine,3305
Moccasin-Eta,8240,Candytuft_Eighty-five,1664
Salmon-Eta,6779,Wattle_Two_hundred_and_fifty-eight,3225
Rosybrown-Eta,7631,Gyp_Two_hundred_and_eighteen,1248
Darkgrey-Nu,6914,Lisianthus_One_hundred_and_forty-eight,3991
Darkgrey-Xi,3450,Achillea_Seventy-one,2622
Rebeccapurple-Sigma,9314,Phlox_Two_hundred_and_eighty-one,3702
Darkorange-Pi,7127,Convallaria_One_hundred_and_sixty-one,2964
Palevioletred-Phi,8226,Myrsine_One_hundred_and_twenty-nine,3591
Orchid-Pi,6304,Limonium_Three_hundred_and_twenty-two,1839
Red-Pi,6211,Nephrolepis_Ninety-eight,3324
Darkblue-Kappa,3013,Nigella_Four_hundred_and_seventy-eight,692
White-Nu,6135,Anigozanthus_One_hundred_and_sixty-one,3215
Magenta-Theta,6022,Veronica_Eighty-four,1773
Silver-Sigma,5363,Tailflowers_Four_hundred_and_forty,3181
Dimgray-Xi,3246,Wattle_Two_hundred_and_thirteen,2454
Rebeccapurple-Xi,7736,Jonquil_Two_hundred_and_sixty-three,3694
Darkslategrey-Mu,5881,Nephrolepis_Three_hundred_and_seventy-three,3602
Ivory-Zeta,7124,Gardenia_Four_hundred_and_eighty-three,3125
Plum-Omega,6816,Stock_One_hundred_and_seventy-six,2347
Pink-Gamma,4992,Anemone_Two_hundred_and_nine,1733
Salmon-Iota,4288,Wolfsbane_Three_hundred_and_sixteen,2473
Orangered-Iota,8323,Saponaria_Ninety-three,2580
Plum-Omicron,4412,Narcissus_Three_hundred_and_seventy-nine,986
Darkcyan-Lamda,4575,Heather_Two_hundred_and_thirty,673
Mediumblue-Omicron,8364,Ginger_Four_hundred_and_forty-four,1559
Lightseagreen-Tau,6408,Phlox_Seventy-nine,1269
Darkturquoise-Theta,5084,Tailflowers_One_hundred_and_forty-three,2677
Dimgray-Phi,4825,Nephrolepis_Two_hundred_and_sixteen,2486
Purple-Zeta,9956,Tulipa_Two_hundred_and_forty-three,3714
Peru-Eta,7900,Anconitum_One_hundred_and_seventy-five,3548
Grey-Omicron,4935,Anemone_Twenty-nine,2538
Mediumseagreen-Alpha,3173,Broom_Three_hundred_and_thirteen,2070
Palegoldenrod-Omega,3625,Nigella_Three_hundred_and_thirty-six,170
Yellowgreen-Eta,8516,Porium_Thirty-one,1255
Navy-Rho,9427,Anthurium_Three_hundred_and_eighteen,1419
Khaki-Epsilon,9492,Cattleya_Three_hundred,27
Peru-Mu,4847,Lily_One_hundred_and_fourteen,792
Sienna-Sigma,3255,Asparagus_Four_hundred_and_forty-one,584
Navajowhite-Zeta,4557,Larkspur_Three_hundred_and_six,1779
Floralwhite-Theta,7547,Candytuft_Two_hundred_and_forty-three,1003
Pink-Delta,5394,Zinna_One_hundred_and_eight,1219
Mediumspringgreen-Rho,3879,Cymbidium_One_hundred_and_ninety-four,3053
Deepskyblue-Upsilon,7957,Godetia_One_hundred_and_two,1474
Orchid-Eta,7219,Cymbidium_One_hundred_and_eighty,2897
Palegoldenrod-Upsilon,4493,Tuberose_Thirty-one,814
Lemonchiffon-Delta,6393,Paeonia_Six,2176
Darkblue-Alpha,3869,Acacia_Sixty-one,678
Mediumslateblue-Delta,3939,Pitt_One_hundred_and_two,2786
Deeppink-Tau,6682,Bouvardia_One_hundred_and_twenty-seven,2919
Blue-Alpha,6940,Ranunculus_Four_hundred_and_eighty-seven,1819
Palevioletred-Iota,3999,Lavandula_Three_hundred_and_fifty-four,2610
Salmon-Tau,7497,Achillea_Four_hundred_and_sixty-seven,3630
Azure-Beta,3231,Chamelaucium_Two_hundred_and_sixty,2717
Burlywood-Theta,6572,Wattle_Two_hundred_and_ninety-eight,3728
Mediumblue-Phi,8493,Cordyline_Three_hundred_and_thirty-four,2277
Darkseagreen-Mu,6030,Throatwort_Three_hundred_and_fourteen,2229
Ivory-Gamma,7457,Narcissus_Three_hundred_and_seventy-nine,986
Thistle-Beta,7641,Monkshood_Three_hundred_and_ten,417
Chartreuse-Beta,6142,Nerine_Thirty-four,458
Mediumpurple-Iota,6593,Knapweed_Two_hundred_and_ninety-four,1160
Honeydew-Pi,4753,Bouvardia_Three_hundred_and_twenty-two,2791
Whitesmoke-Psi,7039,Nigella_One_hundred_and_seventy-one,3979
Darkkhaki-Rho,8327,Montbretia_One_hundred_and_thirty-six,2357
Darkgoldenrod-Theta,9777,Pittosporum_Fourteen,1805
Yellow-Rho,4054,Nerine_Two,137
Snow-Zeta,4257,Peony_Twenty-one,2023
Indianred-Mu,3408,Myrsine_Three_hundred_and_fifty-six,3017
Deeppink-Rho,4432,Gyp_Four_hundred_and_two,356
Deeppink-Kappa,6462,Tulip_Three_hundred_and_fifty-two,3282
Orange-Beta,5991,Nerine_Four_hundred_and_seventy-seven,3287
Mediumvioletred-Eta,5404,Rose_Twenty-three,9110538
Lightgoldenrodyellow-Kappa,6415,Ornithogalum_Two_hundred_and_eighty-four,1333
Saddlebrown-Pi,7796,Campanula_Two_hundred_and_twelve,3450
Aquamarine-Iota,6961,Craspedia_One_hundred_and_twelve,2556
Gainsboro-Psi,9803,Adam's-needle_Three_hundred_and_nineteen,1412
Springgreen-Omicron,8208,Wolfsbane_Three_hundred_and_fifty-seven,2224
Mediumpurple-Iota,6593,Candytuft_Four_hundred_and_ninety-five,3718
Dimgrey-Xi,8720,Anconitum_Two_hundred_and_eleven,2373
Yellowgreen-Omicron,8275,Lisianthus_One_hundred_and_ten,2186
Gainsboro-Gamma,7151,Freesia_Eighty-four,3989
Green-Zeta,8196,Gardenia_Four_hundred_and_twenty-seven,2024
Lightcyan-Sigma,4080,Bupleurum_One_hundred_and_fourteen,3840
Lightskyblue-Epsilon,9369,Bupleurum_Fourteen,2868
Darkslategrey-Mu,5881,Pittosporum_Two_hundred_and_eighteen,3578
Red-Lamda,7033,Adam's-needle_Three_hundred_and_eighty-one,1678
Oldlace-Psi,9755,Lily_Nineteen,1812
Black-Theta,5722,Saponaria_Two_hundred_and_forty-seven,2728
Forestgreen-Sigma,4092,Lavender_Three_hundred_and_eighty-six,726
Slategray-Sigma,8658,Daffodil_Thirty-eight,1607
Honeydew-Omicron,8140,Rose_Three_hundred_and_fifty-seven,2234
Lightseagreen-Tau,6408,Statice_Two_hundred_and_sixty-seven,2950
Lightgoldenrodyellow-Alpha,8483,Narcissus_One_hundred_and_ninety-one,434
Dimgrey-Psi,9924,Gardenia_One_hundred_and_nineteen,3395
Mediumvioletred-Upsilon,6604,Knapweed_Two_hundred_and_ninety-seven,4026
Whitesmoke-Alpha,7582,Saponaria_Two_hundred_and_eight,1425
Floralwhite-Omega,5494,Nephrolepis_Ninety-eight,3324
Chocolate-Omicron,9123,Alstroemeria_Zero,2434
Peru-Omicron,7374,Agapanthus_Four_hundred_and_ninety-one,1015
Mediumslateblue-Chi,6225,Melaleuca_Three_hundred_and_ninety-nine,3831
Lightblue-Mu,4113,Hydrangea_Four_hundred_and_fifty-three,1040
Sandybrown-Eta,5667,Lisianthus_Two_hundred_and_thirty-six,996
Aqua-Zeta,9066,Asparagus_One_hundred_and_sixty-nine,2620
Darkturquoise-Tau,3927,Convallaria_One_hundred_and_sixty-one,2964
Darkolivegreen-Xi,8632,Lilac_Three_hundred_and_fifty-three,1587
Powderblue-Xi,8337,Saponaria_Ten,3388
Antiquewhite-Xi,4238,Lavender_Seventy-nine,2388
Mediumorchid-Psi,9130,Bellflower_Four_hundred_and_fifty-six,1763
Mediumorchid-Epsilon,3019,Porium_Two_hundred_and_sixty-six,828
Dimgray-Tau,9694,Lavender_Three_hundred_and_eighty-six,726
Azure-Tau,6155,Sansevieria_Thirty-two,1667
Midnightblue-Rho,7863,Rattlesnake_Three_hundred_and_ninety-seven,911
Maroon-Phi,9428,Ginger_Forty-seven,3616
Linen-Mu,3836,Tracelium_Thirty-six,3279
Lightgoldenrodyellow-Pi,3035,Daffodil_Three_hundred_and_eighty-eight,1432
Cadetblue-Sigma,6634,Godetia_Two_hundred_and_eighty-six,1088
Mediumvioletred-Upsilon,6604,Lisianthus_One_hundred_and_ten,2186
Yellowgreen-Theta,8164,Statice_One_hundred_and_fifty-nine,2693
Teal-Beta,3644,Bellflower_Two_hundred_and_eighty-four,2254
Darkturquoise-Theta,5084,Chrysanthemum_Three_hundred,554
Darkslategray-Xi,9155,Candytuft_Twenty-nine,784
Purple-Eta,9984,Bellflower_Three_hundred_and_eighty-one,3985
Lightsteelblue-Omega,7529,Carthamus_Four_hundred_and_eighty-four,2158
Lightgrey-Theta,8294,Astilbe_Three_hundred_and_thirty,1675
Blue-Zeta,8953,Monkshood_Three_hundred_and_eighty-one,1715
Moccasin-Kappa,5193,Phalaenopsis_Fifty-four,2557
Brown-Psi,4147,Alstroemeria_Four_hundred_and_fifty-six,461
Sandybrown-Xi,8755,Caspia_Three_hundred_and_seventy,1285
Sienna-Iota,7807,Craspedia_One_hundred_and_twelve,2556
Darkkhaki-Phi,6639,Pitt_Four_hundred_and_fifty-six,3068
Crimson-Iota,6400,Cornflower_One_hundred_and_thirty-four,2387
Lawngreen-Theta,5534,Melaleuca_One_hundred_and_fifty-one,2080
Beige-Alpha,7293,Caspia_Three_hundred_and_seventy,1285
Rebeccapurple-Upsilon,5479,Hydrangea_Three_hundred_and_thirty-five,3165
Darkseagreen-Zeta,3712,Heather_Two_hundred_and_nine,3141
